Country,srcYear,srcMonth,srcCalendarDay,srcStateName,Name of the power station,Monitored capacity,Available capacity,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Power generation under (Dated) program,Power generation under till date actual,Coal Stock,Capacity under outage,Maintenance Start Date,Expected date or synchronize date
India,2024,Dec-2024,06-Dec-2024,Gujarat,KAWAS CCPP,656.2,0,2.16,0.67,523.96,522.93,,656.2,,
India,2021,Feb-2021,01-Feb-2021,Andhra Pradesh,SIMHADRI_Unit 2,500,500,8.61,9.53,2376.61,1105.07,14,0,,
India,2022,Oct-2022,26-Oct-2022,Bihar,KAHALGAON TPS_Unit 1,210,210,4.48,3.45,948.48,861.19,13,0,,
India,2024,Jun-2024,25-Jun-2024,Maharashtra,MAUDA TPS_Unit 4,660,660,13.6,13.61,1163,1099.64,20,0,,
India,2024,Jul-2024,22-Jul-2024,Uttar Pradesh,RIHAND STPS_Unit 4,500,500,11.65,11.83,1315.3,1172.78,20,0,,
India,2024,Jan-2024,15-Jan-2024,Madhya Pradesh,VINDHYACHAL STPS_Unit 13,500,500,11.94,11.62,3461.1,3245.54,16,0,,
India,2024,May-2024,06-May-2024,Uttar Pradesh,DADRI (NCTPP)_Unit 5,490,490,9.19,8.66,366.14,282.65,43,0,,
India,2023,Mar-2023,31-Mar-2023,Bihar,KAHALGAON TPS_Unit 7,500,500,10.42,10.06,3551,3722.7,16,0,,
India,2021,May-2021,31-May-2021,Odisha,TALCHER STPS_Unit 4,500,500,10.84,11.4,661,658.59,12,0,,
India,2023,Apr-2023,06-Apr-2023,Madhya Pradesh,VINDHYACHAL STPS_Unit 2,210,210,4.83,4.91,28.98,28.98,21,0,,
India,2023,Apr-2023,06-Apr-2023,Maharashtra,MAUDA TPS_Unit 1,500,0,10.9,0,65.4,40.94,13,500,05/04/2023 18:47,07/04/2023 0:00
India,2020,Jan-2020,24-Jan-2020,Chhattisgarh,KORBA STPS_Unit 6,500,500,10.1,12,3023.4,3194.74,8,0,,
India,2024,Jul-2024,05-Jul-2024,Chhattisgarh,SIPAT STPS_Unit 3,660,660,14.03,14.8,1018.15,1012.7,12,0,,
India,2019,Mar-2019,28-Mar-2019,Bihar,BARAUNI TPS_Unit 8,250,0,2.77,0,491.56,0,,250,11/01/2018 2:13,
India,2019,Feb-2019,18-Feb-2019,Rajasthan,ANTA CCPP,419.33,0,1.96,0,560.28,550.67,,419.33,,
India,2018,Jun-2018,29-Jun-2018,Gujarat,GANDHAR CCPP,657.39,513.09,5.77,7.51,512.43,619.85,,144.3,,
India,2020,Jun-2020,13-Jun-2020,Odisha,TALCHER (OLD) TPS_Unit 5,110,110,2.6,2.64,191.8,176.62,37,0,,
India,2024,Sep-2024,11-Sep-2024,Uttar Pradesh,RIHAND STPS_Unit 2,500,500,11.73,10.72,1922.03,1635.93,21,0,,
India,2019,Apr-2019,30-Apr-2019,Uttar Pradesh,UNCHAHAR TPS_Unit 6,500,500,9.07,7.57,272,235.12,45,0,,
India,2017,Sep-2017,20-Sep-2017,Madhya Pradesh,VINDHYACHAL STPS_Unit 11,500,500,8.63,10.88,1494.6,1670.38,,0,,
India,2023,Jan-2023,06-Jan-2023,Madhya Pradesh,VINDHYACHAL STPS_Unit 11,500,500,10.23,11.83,2850.38,3272.79,17,0,,
India,2020,Nov-2020,29-Nov-2020,Uttar Pradesh,TANDA TPS_Unit 1,110,0,1.13,0,301.77,261.15,62,110,19/10/2020 01:09,
India,2023,Mar-2023,19-Mar-2023,Chhattisgarh,KORBA STPS_Unit 2,200,200,4.32,4.19,1418.08,1655.78,10,0,,
India,2022,Dec-2022,13-Dec-2022,Maharashtra,MAUDA TPS_Unit 2,500,500,6.32,9.56,1704.16,2292.8,13,0,,
India,2024,Mar-2024,05-Mar-2024,Andhra Pradesh,SIMHADRI_Unit 1,500,500,10.61,8.14,2924.05,2388.24,15,0,,
India,2025,Aug-2025,30-Aug-2025,Kerala,R. GANDHI CCPP (Liq.),359.58,0,0,0,0,0,,359.58,,
India,2018,Jul-2018,13-Jul-2018,Uttar Pradesh,UNCHAHAR TPS_Unit 1,210,210,3.74,3.74,392.36,431.6,,0,,
India,2022,Jan-2022,05-Jan-2022,Chhattisgarh,KORBA STPS_Unit 7,500,500,11.48,12,2813.4,3181.3,6,0,,
India,2020,Aug-2020,09-Aug-2020,Bihar,BARAUNI TPS_Unit 6,105,0,0,0,83,0,11,105,25/02/2020 06:56,
India,2023,Aug-2023,26-Aug-2023,Madhya Pradesh,VINDHYACHAL STPS_Unit 12,500,500,11.61,11.81,1717.86,1700.41,19,0,,
India,2019,Jul-2019,10-Jul-2019,Uttar Pradesh,DADRI (NCTPP)_Unit 2,210,210,2.77,2.89,316.7,218.6,36,0,,
India,2018,Sep-2018,24-Sep-2018,Uttar Pradesh,SINGRAULI STPS_Unit 2,200,200,4.03,3.46,713.72,633.09,,0,,
